Name,Price,Category,Ratings,Number of Reviews
Packard 255 G2,416.99,Laptops,0,2
Aspire E1-510,306.99,Laptops,0,2
ThinkPad T540p,1178.99,Laptops,0,2
ProBook,739.99,Laptops,0,8
ThinkPad X240,1311.99,Laptops,0,12
Aspire E1-572G,581.99,Laptops,0,2
ThinkPad Yoga,1033.99,Laptops,0,13
Pavilion,609.99,Laptops,0,4
Inspiron 15,745.99,Laptops,0,12
Dell XPS 13,1281.99,Laptops,0,4
ThinkPad X230,1244.99,Laptops,0,10
HP 250 G3,520.99,Laptops,0,13
ThinkPad Yoga,1223.99,Laptops,0,2
HP 350 G1,577.99,Laptops,0,10
Asus VivoBook...,399.0,Laptops,0,4
Dell Vostro 15,488.78,Laptops,0,14
Acer Spin 5,564.98,Laptops,0,0
Acer Aspire A5...,679.0,Laptops,0,9
Dell Inspiron...,679.0,Laptops,0,7
Asus VivoBook...,729.0,Laptops,0,2
Asus ROG STRIX...,799.0,Laptops,0,7
Acer Nitro 5 A...,809.0,Laptops,0,0
Asus ROG STRIX...,899.0,Laptops,0,7
Lenovo ThinkPa...,999.0,Laptops,0,11
Lenovo Legion...,1149.0,Laptops,0,11
Lenovo Legion...,1399.0,Laptops,0,8
Asus ROG Strix...,1769.0,Laptops,0,7
Asus ROG Strix...,1769.0,Laptops,0,8
Asus ROG Strix...,1799.0,Laptops,0,8
Asus VivoBook...,295.99,Laptops,0,14
Prestigio Smar...,299.0,Laptops,0,8
Prestigio Smar...,299.0,Laptops,0,12
Lenovo V110-15...,321.94,Laptops,0,5
Lenovo V110-15...,356.49,Laptops,0,6
Hewlett Packar...,364.46,Laptops,0,12
Acer Aspire 3...,372.7,Laptops,0,2
Acer Aspire A3...,379.94,Laptops,0,0
Acer Aspire ES...,379.95,Laptops,0,9
Acer Aspire 3...,391.48,Laptops,0,10
Acer Aspire 3...,393.88,Laptops,0,9
Asus VivoBook...,399.99,Laptops,0,3
Lenovo ThinkPa...,404.23,Laptops,0,12
Acer Aspire 3...,408.98,Laptops,0,10
Lenovo V110-15...,409.63,Laptops,0,9
Acer Aspire ES...,410.46,Laptops,0,14
Asus VivoBook...,410.66,Laptops,0,4
Asus EeeBook R...,433.3,Laptops,0,1
Acer Aspire 3...,436.29,Laptops,0,1
Acer Aspire ES...,436.29,Laptops,0,2
Acer Extensa 1...,439.73,Laptops,0,6
Acer Aspire ES...,454.62,Laptops,0,9
Lenovo V110-15...,454.73,Laptops,0,2
Acer Aspire A3...,457.38,Laptops,0,9
Lenovo V110-15...,465.95,Laptops,0,7
Lenovo IdeaTab,69.99,Tablets,0,7
Acer Iconia,96.99,Tablets,0,7
Asus MeMO Pad,102.99,Tablets,0,14
Amazon Kindle,103.99,Tablets,0,3
iPad Mini Reti...,537.99,Tablets,0,8
IdeaTab A3500L,88.99,Tablets,0,7
Galaxy Tab,251.99,Tablets,0,14
IdeaTab A3500-...,148.99,Tablets,0,9
Galaxy Tab 3,97.99,Tablets,0,2
Galaxy Note,489.99,Tablets,0,9
MeMO Pad 7,130.99,Tablets,0,11
Galaxy Tab 4,233.99,Tablets,0,1
Galaxy Tab 3,107.99,Tablets,0,14
Memo Pad HD 7,101.99,Tablets,0,10
Galaxy Note 10...,587.99,Tablets,0,6
MeMo PAD FHD 1...,320.99,Tablets,0,7
IdeaTab S5000,172.99,Tablets,0,8
Iconia B1-730H...,99.99,Tablets,0,1
IdeaTab A8-50,121.99,Tablets,0,13
Galaxy Note,399.99,Tablets,0,12
Apple iPad Air,603.99,Tablets,0,7
Nokia 123,24.99,Phones,0,11
LG Optimus,57.99,Phones,0,11
Samsung Galaxy,93.99,Phones,0,3
Nokia X,109.99,Phones,0,4
Sony Xperia,118.99,Phones,0,6
Ubuntu Edge,499.99,Phones,0,2
Iphone,899.99,Phones,0,10
Iphone,899.99,Phones,0,8
Iphone,899.99,Phones,0,1
