Name,Price,Category,Rating,Reviews
Asus VivoBook...,295.99,Laptops,0,14
Prestigio Smar...,299,Laptops,0,8
Prestigio Smar...,299,Laptops,0,12
Aspire E1-510,306.99,Laptops,0,2
Lenovo V110-15...,321.94,Laptops,0,5
Lenovo V110-15...,356.49,Laptops,0,6
Hewlett Packar...,364.46,Laptops,0,12
Acer Aspire 3...,372.7,Laptops,0,2
Acer Aspire A3...,379.94,Laptops,0,0
Acer Aspire ES...,379.95,Laptops,0,9
Acer Aspire 3...,391.48,Laptops,0,10
Acer Aspire 3...,393.88,Laptops,0,9
Asus VivoBook...,399,Laptops,0,4
Asus VivoBook...,399.99,Laptops,0,3
Lenovo ThinkPa...,404.23,Laptops,0,12
Acer Aspire 3...,408.98,Laptops,0,10
Lenovo V110-15...,409.63,Laptops,0,9
Acer Aspire ES...,410.46,Laptops,0,14
Asus VivoBook...,410.66,Laptops,0,4
Packard 255 G2,416.99,Laptops,0,2
Asus EeeBook R...,433.3,Laptops,0,1
Acer Aspire 3...,436.29,Laptops,0,1
Acer Aspire ES...,436.29,Laptops,0,2
Acer Extensa 1...,439.73,Laptops,0,6
Acer Aspire ES...,454.62,Laptops,0,9
Lenovo V110-15...,454.73,Laptops,0,2
Acer Aspire A3...,457.38,Laptops,0,9
Lenovo V110-15...,465.95,Laptops,0,7
Asus VivoBook...,468.56,Laptops,0,1
Acer Aspire ES...,469.1,Laptops,0,5
Lenovo V510 Bl...,484.23,Laptops,0,8
Acer Aspire ES...,485.9,Laptops,0,6
Lenovo V510 Bl...,487.8,Laptops,0,9
Acer Swift 1 S...,488.64,Laptops,0,4
Dell Vostro 15,488.78,Laptops,0,14
Acer Aspire 3...,494.71,Laptops,0,2
Dell Vostro 15...,497.17,Laptops,0,9
Lenovo V510 Bl...,498.23,Laptops,0,5
HP 250 G3,520.99,Laptops,0,13
Acer Spin 5,564.98,Laptops,0,0
HP 350 G1,577.99,Laptops,0,10
Aspire E1-572G,581.99,Laptops,0,2
Pavilion,609.99,Laptops,0,4
Acer Aspire A5...,679,Laptops,0,9
Dell Inspiron...,679,Laptops,0,7
Asus VivoBook...,729,Laptops,0,2
ProBook,739.99,Laptops,0,8
Inspiron 15,745.99,Laptops,0,12
Asus ROG STRIX...,799,Laptops,0,7
Acer Nitro 5 A...,809,Laptops,0,0
Asus ROG STRIX...,899,Laptops,0,7
Lenovo ThinkPa...,999,Laptops,0,11
ThinkPad Yoga,1033.99,Laptops,0,13
Lenovo ThinkPa...,1096.02,Laptops,0,14
Dell Inspiron...,1098.42,Laptops,0,7
MSI GL72M 7RDX,1099,Laptops,0,1
MSI GL72M 7RDX,1099,Laptops,0,9
Asus ROG Strix...,1101.83,Laptops,0,4
Dell Latitude...,1102.66,Laptops,0,8
Dell Latitude...,1110.14,Laptops,0,4
Lenovo Legion...,1112.91,Laptops,0,1
Toshiba Porteg...,1114.55,Laptops,0,0
Acer Predator...,1123.87,Laptops,0,1
Acer Aspire 7...,1123.87,Laptops,0,4
Dell Inspiron...,1124.2,Laptops,0,10
Dell Latitude...,1133.82,Laptops,0,14
Lenovo Legion...,1133.91,Laptops,0,13
Asus AsusPro A...,1139.54,Laptops,0,7
Acer Nitro 5 A...,1140.62,Laptops,0,14
Dell Latitude...,1143.4,Laptops,0,5
Dell Inspiron...,1144.2,Laptops,0,2
Dell Latitude...,1144.4,Laptops,0,10
Lenovo Legion...,1149,Laptops,0,11
MSI GP62M 7RDX...,1149,Laptops,0,11
Lenovo Yoga 72...,1149.73,Laptops,0,12
Toshiba Porteg...,1154.04,Laptops,0,7
Acer TravelMat...,1170.1,Laptops,0,0
Dell Latitude...,1178.19,Laptops,0,6
ThinkPad T540p,1178.99,Laptops,0,2
MSI GS63 7RD S...,1179,Laptops,0,2
Dell Latitude...,1187.88,Laptops,0,5
Acer Predator...,1187.98,Laptops,0,14
MSI GL62M 7REX,1199,Laptops,0,7
MSI GL62M 7REX...,1199,Laptops,0,12
Lenovo Yoga 91...,1199.73,Laptops,0,7
Toshiba Porteg...,1203.41,Laptops,0,13
Lenovo IdeaPad...,1212.16,Laptops,0,0
Acer Predator...,1221.58,Laptops,0,9
ThinkPad Yoga,1223.99,Laptops,0,2
Asus VivoBook...,1235.49,Laptops,0,10
Dell Latitude...,1238.37,Laptops,0,0
Asus ZenBook U...,1239.2,Laptops,0,14
ThinkPad X230,1244.99,Laptops,0,10
Asus ROG Strix...,1259,Laptops,0,7
Apple MacBook...,1260.13,Laptops,0,8
Dell Latitude...,1271.06,Laptops,0,13
Hewlett Packar...,1273.11,Laptops,0,8
Dell XPS 13,1281.99,Laptops,0,4
Toshiba Porteg...,1294.74,Laptops,0,6
MSI GL62VR 7RF...,1299,Laptops,0,1
Dell Latitude...,1310.39,Laptops,0,8
ThinkPad X240,1311.99,Laptops,0,12
Hewlett Packar...,1326.83,Laptops,0,2
Apple MacBook...,1333,Laptops,0,0
Dell Latitude...,1337.28,Laptops,0,6
Dell Latitude...,1338.37,Laptops,0,11
Dell Latitude...,1341.22,Laptops,0,3
Apple MacBook...,1347.78,Laptops,0,11
Lenovo ThinkPa...,1349.23,Laptops,0,5
Lenovo ThinkPa...,1362.24,Laptops,0,12
Toshiba Porteg...,1366.32,Laptops,0,11
Asus ASUSPRO B...,1381.13,Laptops,0,4
Lenovo Legion...,1399,Laptops,0,8
Asus ROG Strix...,1399,Laptops,0,10
Asus ROG Strix...,1769,Laptops,0,7
Asus ROG Strix...,1769,Laptops,0,8
Asus ROG Strix...,1799,Laptops,0,8
